src	dest
EIF2A	YWHAE
HNF4A	HIST1H2AC
TRA2B	POLR2F
BIRC3	UBE2D2
KIF23	HLA-DQA1
GTF2H5	RFC5
MAPK10	FOSL2
FGF1	SSH1
NDUFS8	NDUFS7
CPSF4	CCAR1
IGHV4-34	V1-9
IL6	IL13RA1
APOC4	APOB
SRSF1	DDX39B
VPS51	GOLGA4
POLD4	ERCC1
POMGNT2	DAG1
COPZ1	INS
POLR2G	ASUN
LTV1	RIOK3
HLA-DOB	CD4
USP14	PSMB2
FBXL18	SMURF2
KRT33B	KRT71
RTP2	OR2F1
XPA	SUMO2
NBN	HIST3H3
U2SURP	RBM22
DIAPH1	CDC42
FNBP1L	CFTR
OCRL	EGFR
PCDHB5	CDH19
DDX46	RBM22
DDX41	UBC
HTR5A	GNG11
IL3	JAK2
MRPL30	MRPL22
IGHV	IGHV3-23
NUP153	NUP43
NEDD4L	FGFR3
PSMB10	HNRNPD
HRAS	MAPK10
NDUFB10	NDUFS3
SPI1	MMP2
EIF3J	EIF3F
TRAF3	TRAF1
SRP68	RPS4X
IFNA16	PRLR
CDC5L	LSM7
GTF2F2	CASC3
CDKN1A	E2F3
FGD2	RHOT1
RPL4	EIF5B
KCNJ9	DRD2
HIST1H2BM	HDAC4
FUS	SRRM1
MMP28	POTEKP
SECISBP2	RPL10
RPL15	SRP68
CCL13	CXCR1
PPP2R2B	PPP1R1A
ATF2	APOC3
ZMAT5	POLR2L
SNRNP70	POLR2D
ZWILCH	MAPRE1
FBN1	ITGB3
FBXO9	FBXL21
SMG1	PPP2CB
FZD4	NECAP1
DYNC1H1	DYNLT1
PRPF31	HNRNPF
ACTR3	V2-15
ACTB	TMSB4X
FBXL16	FBXO10
PCDHB6	PCDH12
PRKACG	OR51B6
SKIV2L2	RRP9
GFM1	MRPS18C
WHSC1	HIST3H3
SUZ12	POLR2D
LEPR	CAMKK2
RAB3GAP1	DYNC1LI2
FAT2	PCDHGC5
FOXO1	YWHAG
ARRB1	OR2T3
WNT10A	CSNK1G2
TUBG1	CENPJ
SIAH2	FBXL3
SMURF2	RPS27A
KRT6C	KRT16
CD74	AP1S2
ITGB6	CRKL
IGHV3-33	IGHE
GNB2	ADCY8
CSNK1D	YAP1
LAMA5	ITGA2
CEBPB	ICAM1
IFT122	TTC26
TAF4B	TAF7
AURKA	TUBA1A
SMG8	RPLP1
TLE3	UBC
ATP5O	ATP5S
MT-ND1	MT-ND5
PANX2	PANX1
SNRPB	PRPF3
SOS2	NCK2
PCDH20	CTNNAL1
DCTN2	COG5
PTGES3	RPS6KB1
STAM	SYNJ2
CCT5	BBS4
SUPT6H	GTF2H3
BUB1B	CDC26
POLR2E	INTS12
GP5	PIK3R3
TUBGCP6	TUBGCP2
SEC23A	HLA-DRB3
ATR	MCM6
POLR2H	SF3B2
ACTB	V1-13
CKM	CKB
E2F6	MAMSTR
NCBP2	RPL26
WDR61	POLR2L
SKA2	CENPI
MRPS5	MRPL49
GNG4	ADRB3
CSH1	IL5RA
GTF2F2	LSM4
DHX38	ISY1
PRPF6	EIF4A3
RPS27A	FBXL3
POLR2A	DDB1
UBC	FBXL15
PSMA1	AXIN1
ITGAL	COL4A6
GNB1	PNOC
PRCC	DDX23
DHX38	SNRPD1
UPF3B	LSM2
NDUFB8	MT-ND4
B9D2	CENPM
DAXX	MAP3K5
SIN3A	SKI
GH2	IRS2
SNRPA1	POLR2J
COL9A3	ACTB
TGFBR2	SMAD7
RASGRP4	CACNA1H
CCNB1	CENPA
GNAT3	NPY2R
TCRB	HLA-F
FGF1	FGF6
IGHV1-69	WIPF3
DHX38	THOC5
ITGB6	TLN1
PPIE	SUGP1
GRIN2B	GRIN1
GNAO1	CD3G
FCHO1	CFTR
SKP2	FBXL5
FGR	PIK3CD
IFNA14	NFATC1
COPG2	KIF3A
TF	ACTR2
WDR5	ASH2L
PSMD1	OAZ3
PCDHA6	PCDHB2
RPL4	SMG6
ADRA1A	PRKAB2
HTR2A	ARRB2
CCM2	MAPK11
CEP72	FBF1
PLK4	CEP83
CHMP5	CHMP4C
PSMC1	AMER1
GNB1	SHC1
PPP2R1A	CACNB1
IGHG4	IGHV1-2
NDUFA8	MT-ND2
PPP1CC	AKT1
POU2F1	ALDOC
OR52L1	GNGT1
JAK1	IL11RA
LEO1	WDR61
NLRP4	TMEM173
MAP3K5	FADD
DDX5	CWC27
RFC5	AQR
EREG	EGFR
TCF12	LBX1
PPP2R2A	ARRB2
PDCD1	HLA-DQA1
DLGAP1	GRM5
CSTF2T	CDC40
INSR	PIK3R3
CENPP	CENPU
APBB1	ESR1
RACK1	HIF1A
YY1	H3F3A
MRPS25	MRPL28
NDUFB11	NDUFV3
PRKACG	PRKAR1B
PLK1	CENPO
CEBPA	CFTR
HELLS	PYGO2
IGKV3-11	ELMO1
KRT24	KRT2
MAGOH	PABPN1
MED1	TBL1XR1
SRRM2	HNRNPA3
ARPC4	V4-1
PIK3R5	MTMR7
CHRM3	GNGT2
PIK3R1	DNM2
NUP93	FIP1L1
GRK2	OR2A7
LRP5L	WNT9B
PIP5K1C	PLCD3
PRPF40A	SRRM1
IGHV4-39	TEC
PTPN11	TRAF3
CTNNBL1	U2AF2
DYNC1H1	GOLGB1
EFNA5	FGR
CWC22	CDC40
RAD17	MCM2
UBQLN2	AAK1
IL5	IL3
CDH16	PCDHGA2
AKT1S1	RPTOR
EFTUD2	SYMPK
GPR83	GNB1
IGHE	IGLV3-21
ACTB	CTNNB1
RPL41	EIF4A3
PPP2R1A	CACNA2D2
RANGAP1	RGPD5
GNAL	SSTR5
GTF2E2	CPSF3L
GRB2	UGCG
KLRC2	SYK
GTF3C5	POLR1D
GTF2H1	CD3EAP
NUP107	CPSF1
ITGAV	CRK
IL17RC	IL17F
MYH3	TNNC1
RTP1	OR10Q1
RPS25	MAGOHB
PTBP1	CSTF1
SRRM2	PRCC
POU2F1	CRCP
PSMD1	ODC1
HNRNPUL1	LSM7
RBM22	POLR2G
PCDHB3	CDH19
PPP2R1B	CACNA2D1
MED10	EBF1
GPKOW	POLR2K
POLR2G	NABP1
SNRPC	NCBP1
NCOR1	PAX6
V1-9	AMBP
PSMA8	SNCAIP
NEFM	PRPH
CASP1	IL1R2
CXCL13	CCR5
NCK1	MYO1C
UQCRC1	UQCRC2
SIRT6	BHLHE40
PAF1	AFF4
AHI1	DYNC1H1
AMBP	V2-11
MRPS23	AURKAIP1
RPS28	RNPS1
CDC73	CTNNB1
PRPF4	SNRNP200
HCK	V1-13
SEC13	RPS27
USF1	PTPN6
CCNT2	HLF
GRK3	OR5W2
SMURF1	RGMA
ERCC6	XPA
VPREB3	IGHV1-2
RPL37A	PNRC2
GOLGA2	SEC31A
SMARCAL1	CREBBP
MAGOHB	RPS12
RELA	IFNA5
RPS15	RBM8A
CD4	SYNJ2
NRG2	NRAS
XRN1	DCP2
HTR2C	FLJ00404
CPSF4	WDR82
RTP2	OR2Y1
TLE2	TCF7L2
UBC	FBXL13
ZNF830	XPA
NCOR1	MED19
ATP12A	ATP4B
EFTUD2	EIF4A3
ROCK1	SLC9A3
STAT3	PRKCH
RAB7A	TUBB4A
PLCB2	PIP5K1B
CSK	SHC1
AAK1	LDLRAP1
ITGA5	COL17A1
PSMD7	PSMB3
U2SURP	PPIE
RPS15	EIF3K
SKP2	FBXL15
NCOA3	CHUK
TRIM25	RNF135
SOS1	PIK3CB
EIF3B	RPS14
ARPC1A	AP2A2
B9D1	DYNC1I2
SNRPB2	CD2BP2
OR6T1	GNB1
RBM17	HNRNPF
NUP98	ERCC6L
PCDHA9	PCDHB10
BCR	RAC1
HNRNPR	HNRNPK
CDK9	TCEB3
ITGAV	ACTN1
MRPL32	MRPL1
NDUFS1	MT-ND2
WIPF2	CDC42
PIGT	PIGU
DYNLL2	PAFAH1B1
GTF2H4	PAF1
CYC1	UQCRC1
COL11A2	POTEKP
IGHV2-70	JCHAIN
IMP3	DDX47
POLR2F	TAF8
NUPL2	CPSF2
TNKS1BP1	CNOT2
RPS11	RPL11
FGFR3	UBC
GNGT2	ADRB1
TAB1	MAP2K4
PDS5B	NUP133
GALNT7	MUC7
PSMD2	NFKBIE
PCBP2	U2AF1L5
IGHV	IGLC2
OR11G2	GNAL
PPIP5K2	IPPK
FGF3	TEK
PSMD6	ANAPC1
SKA1	STAG2
SRSF9	CWC27
SRC	FRS2
MRPL55	MRPL27
PRPF19	PHF5A
RXRB	CPT1B
SYT1	FCHO2
DYNC1H1	CEP63
RNF217	FBXW2
TP53	CREBBP
CENPI	CLASP2
ERCC3	AFF4
ELL	INTS12
DST	ITGB4
UBA52	ERCC4
DHX9	SNRPD2
COX5B	COX4I1
SHANK2	HOMER3
TNC	ITGA6
NANOG	ZSCAN10
RASGRF2	RHOBTB1
SMARCB1	NUDT1
TRAPPC6A	TRAPPC2B
JUP	FER
ARPC3	EPS15
DYNC1H1	TPX2
MTA1	HDAC1
PTCD3	MRRF
DHX9	CPSF3
CD3G	CBL
LAMTOR3	MAPK1
RELA	BIRC5
EIF1AX	RPL6
RPAP2	POLR2C
ERCC6L	KIF18A
POLD2	PRIM2
CENPL	B9D2
LSM4	CPSF3
MAP2K2	MAP3K5
WIF1	WNT9A
HRAS	YWHAQ
CASK	STX1A
TMED10	KDELR2
SECISBP2	RPS4Y1
UPF3B	THOC6
NEK2	RPGRIP1L
FAN1	FANCB
MTMR3	TMEM55B
CRNKL1	PCF11
COPB1	DCTN6
SNRPC	GTF2F2
HLA-DPA1	HLA-DOB
PRKACB	PRKAG1
ERG	SETDB1
YBX1	ZMAT5
GRIN2A	KRAS
RPLP2	RPL32
CCL27	GNB3
GABRG3	GABRB1
RAMP3	GNG2
RAB27A	CHML
ARAF	KRAS
AFF4	TCEB3C
PCDHB4	FAT2
LAT	PIK3CD
RPS3	RPL27A
GNGT1	OR5H15
ACTR1A	RILP
NCBP2	ELAVL2
U2SURP	PUF60
C1R	IGKV2D-40
FBXL4	BTRC
CYFIP1	IGKV1-16
NSL1	DSN1
ITGA2B	FLNA
SUDS3	DNMT3B
ELMO2	IGLV6-57
YWHAE	MAPRE1
NELFA	GTF2H1
IGHV2-5	JCHAIN
NDE1	NUP107
MTRF1L	MRPS18B
DAB2	NECAP1
UBC	GYS1
MRPL11	MRPL20
DHX9	CASC3
AP1B1	AP1G1
CDC5L	HNRNPH1
CSH1	LIFR
FGF1	GAB1
FOS	CAV1
RARB	AKT1
DIEXF	UTP6
ESRP2	POLR2G
C1QA	C1QB
TCEB3C	POLR2D
FOXO1	PCK1
GRP	GRPR
POLR2D	ERCC8
GLI2	WNT6
MED12	MED9
PCDH18	CTNNAL1
GH1	SOCS1
KMT2C	DPY30
RPS15A	RPL32
GNA14	NMBR
NUP98	THOC1
DKFZP666O0110	MAPK1
V1-16	GRAP2
U2AF1L5	SNRPA1
RRP9	WDR43
V2-11	ITK
KBTBD7	RBX1
RPS7	RPS4X
ABI1	IGKV2-30
IGKV3D-20	IGHV3-33
RNF31	RIPK2
CSTF2T	DDX46
IGKV1-33	IGHV4-59
KRT85	KRT33B
PIK3CA	FGF10
COPB1	KIF22
EPHB6	VAV3
INPP5B	PI4KA
NDUFB8	NDUFAF2
SSR4	RPL3
GATA3	NOTCH1
COL4A4	FYN
IGHG3	ACTB
REEP1	OR5F1
MTRF1L	CHCHD1
PAF1	CDC73
IGHV	DAPP1
PDGFRA	GRB7
UBB	RFC5
RPL27	RPS26
SUPT7L	TRRAP
YES1	PARD6A
IGLC1	CD79A
TRAPPC8	TRAPPC6B
IGHG2	IGHG4
RPP38	RPS20
GNGT1	EDN1
ANAPC1	ANAPC10
ARRB2	CXCL8
TP73	BUB3
IFT57	FUZ
PCDHB10	PCDHB11
CDH20	CTNNA1
CHML	RAB1A
EIF4G1	RPS14
ANAPC10	UBC
AAAS	SNRPB
UIMC1	RNF168
GATA2	CREBBP
EPHA3	EFNB1
TP53	TP53AIP1
TRBV12-3	CD74
GTF2A2	NCBP2
TUBGCP3	TUBA4A
GTF2F1	PMF1
GFRA2	PLCG1
PLCE1	PIK3R3
CHRNA1	DAG1
ATG14	AMBRA1
RHOB	PPP1CB
ARHGAP39	RHOD
FOS	IL2
MRPS16	MRPS31
PCDHA1	PCDHB6
COMP	SDC1
GP1BB	FLNA
PCDHA4	PCDH12
HNRNPM	POLR2B
GYS1	GYS2
PNRC2	PPP2R2A
ADRB2	ARPC2
EFTUD2	PRPF19
PCM1	DYNC1H1
ORC1	ORC3
POLR2D	LSM5
COL9A2	ITGB6
CXCL11	GNG2
TNF	MED4
IGKV1-12	C2
RPRD1A	INTS5
OR5M9	GNG7
MAFB	PBX1
NBN	XRCC2
PABPC1	PAN3
IRAK3	CD14
CSF1	FGFR3
SYMPK	HNRNPH2
FBF1	TUBG1
CSTF2T	POLR2E
EIF3F	RPS9
SMARCD3	BCL9
RIPK3	LY96
RPL3	SEC61B
YES1	V5-4
SMG6	PPP2R3C
CDC40	PABPN1
POU2F2	SNAPC3
SPOPL	SPOP
IFNA4	IL6ST
VEGF	VEGFR1
BRF2	SNAPC4
GNAL	OR10G2
CEP164	DCTN1
INPP5D	IL2
TSC2	PRR5
SKP1	CDKN1C
GNAZ	ESR1
MRPS33	MRPS23
DNA2	RAD9B
ARPC1B	IGHV1-2
IGHV3-53	VAV2
PPP2R5C	PPP2CB
SGO1	CENPN
CIT	DLG4
SGO2	BIRC5
CDH2	JUP
POLR2E	HNRNPR
SPTB	COG8
PRKAB2	PRKAA2
NCBP1	PLRG1
UBC	FBXO10
GNGT1	OR10K1
CXCL11	MAP2K6
CTBP2	MAFB
XAB2	HNRNPD
V3-4	FCAMR
THOC7	NXF1
RPN1	RPL17
SP2	ZSCAN26
POLD3	APEX1
EDN1	CCR3
REEP1	OR6F1
TEX12	UBE2I
MYO1C	POLR2F
ZNF274	SORT1
UGT1A3	ADH4
PCBP2	POLR2I
HLA-DRB1	AP1S2
POTEKP	AP2A1
SRPRB	RPL3
COPS8	GTF2H4
SHFM1	AMER1
RPA2	MCM7
POLR2J	GTF2H4
ICOS	PIK3CA
PSMA4	KLHL12
ARRB2	OR10H1
IGKV3D-20	PIK3R1
CBL	EPN1
CAMK2G	CACNG1
MAP2K3	CCM2
CEBPA	MED23
COL2A1	ITGA3
GSPT2	RPL6
ITGB3	SHB
REEP1	OR6K3
PRKACB	OR13D1
MARK4	AHI1
GRB2	ARTN
BET1L	COG4
CDK5	GOLGA2
